NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT
71070,V,60-69,1,0,1200,Heusden-Zolder,Limburg,Vlaams Gewest,MidWestLim,130,633,0,157,109,476,20,0,1
12005,M,70-79,1,1,717,Bonheiden,Antwerpen,Vlaams Gewest,Bonstato,265,448,1,215,263,233,0,0,1
23016,M,10-19,1,0,506,Dilbeek,Vlaams-Brabant,Vlaams Gewest,Pajottenland,6,4,0,3,6,1,0,0,0
73009,V,70-79,1,1,570,Borgloon,Limburg,Vlaams Gewest,Haspengouw,330,233,0,111,327,122,0,0,3
43010,M,90-100+,1,1,106,Maldegem,Oost-Vlaanderen,Vlaams Gewest,West-Meetjesland,45,77,0,75,45,2,0,0,0
11002,V,60-69,1,1,11921,Antwerpen,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid,4256,6369,10,2055,1439,3654,2736,660,71
72018,M,90-100+,1,1,40,Kinrooi,Limburg,Vlaams Gewest,Maasland,20,25,0,25,18,0,1,0,1
33016,V,70-79,1,1,39,Mesen,West-Vlaanderen,Vlaams Gewest,Westhoek,18,20,0,12,18,8,0,0,0
31043,M,20-29,1,0,1609,Knokke-Heist,West-Vlaanderen,Vlaams Gewest,Oostkust,78,52,19,21,59,29,0,2,0
24043,V,30-39,1,0,584,Holsbeek,Vlaams-Brabant,Vlaams Gewest,Leuven Noord,94,65,19,44,64,19,10,2,1
24054,M,80-89,1,1,181,Kortenaken,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,132,54,0,44,132,10,0,0,0
11007,M,90-100+,1,1,19,Borsbeek,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,11,7,0,7,6,0,2,0,3
73032,M,60-69,1,1,325,Hoeselt,Limburg,Vlaams Gewest,Zuid-Oost Limburg,14,300,0,113,12,186,1,1,1
33037,M,90-100+,1,1,40,Zonnebeke,West-Vlaanderen,Vlaams Gewest,Westhoek,24,26,0,26,19,0,1,0,4
23002,M,40-49,1,0,2186,Asse,Vlaams-Brabant,Vlaams Gewest,AMALO,101,153,8,70,84,79,9,4,0
72020,V,50-59,1,0,2739,Lommel,Limburg,Vlaams Gewest,Noord-Limburg,363,989,41,878,304,110,16,1,2
43002,V,20-29,1,0,791,Assenede,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland,136,83,18,57,102,26,13,0,3
24020,V,90-100+,1,1,185,Diest,Vlaams-Brabant,Vlaams Gewest,Demerland,116,100,0,95,110,5,0,0,6
45061,V,50-59,1,0,498,Wortegem-Petegem,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen,80,197,9,151,63,46,8,0,0
31042,V,70-79,1,1,131,Zuienkerke,West-Vlaanderen,Vlaams Gewest,Oostkust,59,72,0,18,58,54,1,0,0
23077,V,30-39,1,0,2249,Sint-Pieters-Leeuw,Vlaams-Brabant,Vlaams Gewest,Zennevallei,200,153,18,69,164,80,16,4,2
23038,V,70-79,1,1,488,Kampenhout,Vlaams-Brabant,Vlaams Gewest,BraViO,255,242,0,158,254,84,1,0,0
11016,V,40-49,1,0,1162,Essen,Antwerpen,Vlaams Gewest,Noorderkempen,144,121,30,73,101,46,12,2,1
23033,M,80-89,1,1,183,Hoeilaart,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,155,33,0,31,152,2,0,0,3
44083,V,50-59,1,0,3108,Deinze,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie,687,898,94,686,479,210,43,2,71
41024,V,90-100+,1,1,155,Haaltert,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst,107,82,0,66,107,16,0,0,0
12025,M,80-89,1,1,1445,Mechelen,Antwerpen,Vlaams Gewest,Mechelen - Katelijne,1315,126,0,90,1286,36,4,0,25
41048,M,40-49,1,0,2687,Ninove,Oost-Vlaanderen,Vlaams Gewest,Dender Zuid,119,129,6,95,99,27,6,7,8
11056,M,30-39,1,0,1177,Zwijndrecht,Antwerpen,Vlaams Gewest,N-O-Waasland,53,31,5,16,31,11,5,4,12
11023,V,50-59,1,0,2069,Kapellen,Antwerpen,Vlaams Gewest,Noorderkempen,248,662,32,365,167,294,44,3,5
11037,M,60-69,1,1,453,Rumst,Antwerpen,Vlaams Gewest,RupeLaar,27,422,0,118,22,304,5,0,0
34023,M,80-89,1,1,310,Kuurne,West-Vlaanderen,Vlaams Gewest,Regio Kortrijk,232,89,0,82,202,7,28,0,2
13019,V,90-100+,1,1,79,Lille,Antwerpen,Vlaams Gewest,Middenkempen,39,65,0,62,37,3,0,0,2
12007,V,60-69,1,1,715,Bornem,Antwerpen,Vlaams Gewest,Klein-Brabant Vaartland,33,651,0,67,31,584,2,0,0
72004,V,40-49,1,0,1007,Bree,Limburg,Vlaams Gewest,Kemp en Duin,167,111,33,95,122,16,9,0,3
36010,V,70-79,1,1,449,Ledegem,West-Vlaanderen,Vlaams Gewest,Midden WVL,236,223,0,140,236,83,0,0,0
13013,M,90-100+,1,1,68,Herselt,Antwerpen,Vlaams Gewest,Zuiderkempen,51,38,0,36,49,2,1,0,1
24041,V,70-79,1,1,256,Hoegaarden,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,162,95,0,2,161,93,0,0,1
73042,V,10-19,1,0,256,Lanaken,Limburg,Vlaams Gewest,Maasland,11,5,1,0,9,5,0,0,1
71011,M,30-39,1,0,1153,Diepenbeek,Limburg,Vlaams Gewest,Herkenrode,55,54,2,33,46,16,5,5,2
33016,M,70-79,1,1,35,Mesen,West-Vlaanderen,Vlaams Gewest,Westhoek,23,18,0,9,23,9,0,0,0
23096,V,90-100+,1,1,183,Zemst,Vlaams-Brabant,Vlaams Gewest,BraViO,108,93,2,81,103,12,0,0,3
45063,M,50-59,1,0,500,Lierde,Oost-Vlaanderen,Vlaams Gewest,Panacea,31,212,2,96,23,115,5,1,1
24043,V,10-19,1,0,125,Holsbeek,Vlaams-Brabant,Vlaams Gewest,Leuven Noord,6,4,0,2,6,2,0,0,0
41082,M,30-39,1,0,1280,Erpe-Mere,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst,56,48,7,31,41,16,5,1,3
45065,M,30-39,1,0,479,Zwalm,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen,20,16,1,10,17,6,1,0,1
38025,M,30-39,1,0,719,Veurne,West-Vlaanderen,Vlaams Gewest,Westkust&Polder,47,67,9,24,26,43,11,0,1
32006,M,50-59,1,0,754,Houthulst,West-Vlaanderen,Vlaams Gewest,Westhoek,22,340,0,165,19,174,1,1,2
31022,M,30-39,1,0,1458,Oostkamp,West-Vlaanderen,Vlaams Gewest,WE40,78,75,9,47,57,25,9,3,3
12041,V,10-19,1,0,249,Puurs-Sint-Amands,Antwerpen,Vlaams Gewest,Klein-Brabant Vaartland,23,13,1,0,21,12,1,1,0
