NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,PARTLY_VACCINATED_JJ_AMT
23099,V,20-29,1,0,785,Kraainem,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,37,49,0,23,35,24,2,2,0,0
23101,V,0-9,0,0,1075,Sint-Genesius-Rode,Vlaams-Brabant,Vlaams Gewest,Zennevallei,0,0,0,0,0,0,0,0,0,0
24001,V,80-89,1,1,1094,Aarschot,Vlaams-Brabant,Vlaams Gewest,Demerland,197,467,0,84,197,382,0,1,0,0
23103,M,90-100+,1,1,56,Wezembeek-Oppem,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,19,46,0,45,19,1,0,0,0,0
24016,V,50-59,1,0,589,Boutersem,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,120,51,0,41,113,9,7,1,0,0
24020,M,20-29,1,0,1302,Diest,Vlaams-Brabant,Vlaams Gewest,Demerland,43,27,0,17,39,7,4,3,0,0
24054,M,20-29,1,0,404,Kortenaken,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,10,10,0,8,7,1,3,1,0,0
24048,M,60-69,1,1,438,Keerbergen,Vlaams-Brabant,Vlaams Gewest,Leuven Noord,22,13,0,6,20,6,2,1,0,0
24134,V,60-69,1,0,817,Scherpenheuvel-Zichem,Vlaams-Brabant,Vlaams Gewest,Demerland,70,26,0,21,67,5,3,0,0,0
33016,V,80-89,1,1,30,Mesen,West-Vlaanderen,Vlaams Gewest,Westhoek,0,26,0,5,0,21,0,0,0,0
35013,V,10-19,1,0,656,Oostende,West-Vlaanderen,Vlaams Gewest,Oostende-Bredene,18,4,0,2,18,0,0,2,0,0
35014,V,50-59,1,0,695,Oudenburg,West-Vlaanderen,Vlaams Gewest,Houtland en Polder,97,65,0,55,91,6,6,4,0,0
37017,V,90-100+,1,1,54,Wielsbeke,West-Vlaanderen,Vlaams Gewest,Regio Waregem,21,40,0,36,21,4,0,0,0,0
41027,V,30-39,1,0,1154,Herzele,Oost-Vlaanderen,Vlaams Gewest,Panacea,109,157,0,107,92,42,17,8,0,0
41082,V,40-49,1,0,1281,Erpe-Mere,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst,116,134,0,107,113,27,3,0,0,0
