NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,FULLY_VACCINATED_OTHER_AMT,PARTLY_VACCINATED_OTHER_AMT
11052,V,40-49,1,0,824,Wommelgem,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid,717,26,188,13,145,3,372,10,12,0,0
41024,M,60-69,1,0,689,Haaltert,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst,669,8,123,5,537,3,7,0,2,0,0
71053,V,30-39,1,0,2421,Sint-Truiden,Limburg,Vlaams Gewest,Haspengouw,2090,113,203,4,1858,109,15,0,14,0,0
12026,M,70-79,1,1,1079,Nijlen,Antwerpen,Vlaams Gewest,Pallieterland,1023,15,444,11,566,4,2,0,11,0,0
73107,M,60-69,1,1,1171,Maasmechelen,Limburg,Vlaams Gewest,Maasland,1054,20,211,3,836,15,4,1,3,0,1
42008,M,60-69,1,0,729,Hamme,Oost-Vlaanderen,Vlaams Gewest,Dender,699,3,155,1,536,2,1,0,7,0,0
24130,V,30-39,1,0,512,Zoutleeuw,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,457,14,32,0,409,14,7,0,9,0,0
13013,V,18-29,1,0,806,Herselt,Antwerpen,Vlaams Gewest,Zuiderkempen,668,73,49,0,565,73,28,0,26,0,0
71011,V,18-29,1,0,1276,Diepenbeek,Limburg,Vlaams Gewest,Herkenrode,1029,101,88,0,407,52,374,49,160,0,0
71037,M,80-89,1,1,368,Lummen,Limburg,Vlaams Gewest,MidWestLim,349,3,137,1,209,2,0,0,3,0,0
13046,V,50-59,1,0,886,Vosselaar,Antwerpen,Vlaams Gewest,Kempenland,803,41,242,37,471,4,17,0,73,0,0
11001,M,60-69,1,1,422,Aartselaar,Antwerpen,Vlaams Gewest,RupeLaar,405,9,157,2,241,7,5,0,2,0,0
11056,M,60-69,1,1,577,Zwijndrecht,Antwerpen,Vlaams Gewest,N-O-Waasland,551,5,60,2,482,2,3,1,6,0,0
13012,M,12-17,0,0,315,Herenthout,Antwerpen,Vlaams Gewest,Middenkempen,36,223,0,0,34,223,0,0,2,0,0
24134,V,40-49,1,0,1512,Scherpenheuvel-Zichem,Vlaams-Brabant,Vlaams Gewest,Demerland,1366,68,182,52,973,15,14,1,197,0,0
46003,V,12-17,0,0,1600,Beveren,Oost-Vlaanderen,Vlaams Gewest,N-O-Waasland,311,1045,2,0,276,1044,1,1,32,0,0
42023,M,60-69,1,0,385,Waasmunster,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland,368,8,164,5,185,3,6,0,13,0,0
44081,V,80-89,1,1,412,Zulte,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie,378,14,90,3,279,11,1,0,8,0,0
23047,V,60-69,1,0,405,Machelen,Vlaams-Brabant,Vlaams Gewest,BraViO,318,51,85,40,227,11,1,0,5,0,0
45059,M,90-100+,1,1,43,Brakel,Oost-Vlaanderen,Vlaams Gewest,Panacea,40,0,25,0,11,0,0,0,4,0,0
23016,V,30-39,1,0,2633,Dilbeek,Vlaams-Brabant,Vlaams Gewest,Pajottenland,1799,89,122,1,1632,86,24,1,21,0,1
11016,V,12-17,0,0,639,Essen,Antwerpen,Vlaams Gewest,Noorderkempen,143,350,0,0,129,350,0,0,14,0,0
24137,M,40-49,1,0,363,Glabbeek,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,307,30,31,25,242,5,1,0,33,0,0
37002,V,60-69,1,0,285,Dentergem,West-Vlaanderen,Vlaams Gewest,RITS,271,4,72,3,192,1,1,0,6,0,0
11016,M,30-39,1,0,1151,Essen,Antwerpen,Vlaams Gewest,Noorderkempen,928,51,23,0,892,51,6,0,7,0,0
24054,M,50-59,1,0,626,Kortenaken,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,543,69,155,61,344,8,9,0,35,0,0
11023,M,80-89,1,1,686,Kapellen,Antwerpen,Vlaams Gewest,Noorderkempen,640,16,132,4,500,12,1,0,7,0,0
41082,V,60-69,1,1,609,Erpe-Mere,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst,586,1,115,0,467,1,1,0,3,0,0
11035,V,18-29,1,0,1157,Ranst,Antwerpen,Vlaams Gewest,Pallieterland,934,107,94,1,761,105,26,1,53,0,0
23062,V,70-79,1,1,1193,Overijse,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,1099,18,332,5,755,13,1,0,11,0,0
71011,M,60-69,1,1,613,Diepenbeek,Limburg,Vlaams Gewest,Herkenrode,588,9,202,3,237,2,144,4,5,0,0
23032,M,70-79,1,1,279,Herne,Vlaams-Brabant,Vlaams Gewest,Pajottenland,268,3,88,1,178,1,1,1,1,0,0
