NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,FULLY_VACCINATED_OTHER_AMT,PARTLY_VACCINATED_OTHER_AMT,POPULATION_NBR
23033,V,80-89,1,1,Hoeilaart,VLAAMS-BRABANT,VLAAMS GEWEST,Druivenstreek,278,5,53,1,218,4,0,0,7,0,0,294
24135,V,60-69,1,1,Houwaart,VLAAMS-BRABANT,VLAAMS GEWEST,Demerland,313,0,91,0,221,0,0,0,1,0,0,322
11056,M,60-69,1,1,Zwijndrecht,ANTWERPEN,VLAAMS GEWEST,N-O-Waasland,557,1,62,0,484,1,3,0,7,1,0,577
23025,V,60-69,1,1,Grimbergen,VLAAMS-BRABANT,VLAAMS GEWEST,Regio Grimbergen,973,6,172,0,787,6,3,0,11,0,0,1055
36006,M,30-39,1,0,Hooglede,WEST-VLAANDEREN,VLAAMS GEWEST,Midden WVL,544,5,12,0,519,5,4,0,9,0,0,599
11057,V,0-11,0,0,Malle,ANTWERPEN,VLAAMS GEWEST,Voorkempen,68,5,0,0,68,5,0,0,0,0,0,853
73109,V,60-69,1,1,Moelingen,LIMBURG,VLAAMS GEWEST,ZOLim,119,0,99,0,14,0,2,0,4,0,0,128
43007,M,50-59,1,0,Kaprijke,OOST-VLAANDEREN,VLAAMS GEWEST,Oost-Meetjesland,465,2,106,0,351,2,5,0,3,0,0,487
13017,M,0-11,0,0,Kasterlee,ANTWERPEN,VLAAMS GEWEST,Middenkempen,53,4,0,0,53,4,0,0,0,0,0,1148
35005,M,80-89,1,1,Gistel,WEST-VLAANDEREN,VLAAMS GEWEST,Houtland en Polder,221,5,58,4,158,1,0,0,5,0,0,234
41034,M,30-39,1,0,Lede,OOST-VLAANDEREN,VLAAMS GEWEST,Regio Aalst,1055,15,41,1,982,14,14,0,18,0,0,1154
24094,M,0-11,0,0,Rotselaar,VLAAMS-BRABANT,VLAAMS GEWEST,Leuven Noord,76,12,0,0,76,12,0,0,0,0,0,1168
72018,M,30-39,1,0,Kinrooi,LIMBURG,VLAAMS GEWEST,Maasland,593,5,17,0,565,5,5,0,6,0,0,695
41002,V,0-11,0,0,Aalst,OOST-VLAANDEREN,VLAAMS GEWEST,Regio Aalst,303,30,0,0,303,30,0,0,0,0,0,5684
46020,M,18-29,1,0,Sint-Gillis-Waas,OOST-VLAANDEREN,VLAAMS GEWEST,N-O-Waasland,1269,20,27,0,1134,19,7,1,101,0,0,1402
13004,M,0-11,0,0,Beerse,ANTWERPEN,VLAAMS GEWEST,Kempenland,62,10,0,0,62,10,0,0,0,0,0,1187
34027,V,18-29,1,0,Menen,WEST-VLAANDEREN,VLAAMS GEWEST,Regio Menen,1877,35,120,1,1649,33,32,1,76,0,0,2138
11025,V,50-59,1,0,Lint,ANTWERPEN,VLAAMS GEWEST,ZORA,695,3,219,1,464,2,12,0,0,0,0,717
72037,V,0-11,0,0,Hamont,LIMBURG,VLAAMS GEWEST,Noord-Limburg,48,8,0,0,48,8,0,0,0,0,0,820
37002,V,90-100+,1,1,Dentergem,WEST-VLAANDEREN,VLAAMS GEWEST,RITS,86,2,27,0,56,2,0,0,3,0,0,97
31042,V,40-49,1,0,Zuienkerke,WEST-VLAANDEREN,VLAAMS GEWEST,Oostkust,164,3,52,3,97,0,3,0,12,0,0,176
73009,V,60-69,1,1,Borgloon,LIMBURG,VLAAMS GEWEST,Haspengouw,355,2,65,0,284,2,0,0,5,1,0,361
13029,V,60-69,1,0,Olen,ANTWERPEN,VLAAMS GEWEST,Middenkempen,449,1,85,0,354,1,3,0,7,0,0,462
24007,V,60-69,1,1,Begijnendijk,VLAAMS-BRABANT,VLAAMS GEWEST,Demerland,321,2,102,1,215,1,2,0,2,0,0,327
73042,V,60-69,1,1,Lanaken,LIMBURG,VLAAMS GEWEST,Maasland,829,1,187,0,632,1,10,0,0,0,0,860
71037,M,50-59,1,0,Lummen,LIMBURG,VLAAMS GEWEST,MidWestLim,1118,2,514,1,521,1,8,0,75,0,0,1158
13019,M,60-69,1,1,Lille,ANTWERPEN,VLAAMS GEWEST,Middenkempen,524,2,138,0,379,2,2,0,5,0,0,542
12035,V,50-59,1,0,Sint-Katelijne-Waver,ANTWERPEN,VLAAMS GEWEST,Mechelen-Katelijne,1465,0,359,0,1072,0,18,0,16,0,0,1508
35011,M,18-29,1,0,Middelkerke,WEST-VLAANDEREN,VLAAMS GEWEST,Westkust & Polder,885,22,32,0,814,22,6,0,33,0,0,1027
33021,M,60-69,1,1,Poperinge,WEST-VLAANDEREN,VLAAMS GEWEST,Westhoek,602,0,170,0,422,0,4,0,6,0,0,615
11052,V,80-89,1,1,Wommelgem,ANTWERPEN,VLAAMS GEWEST,Antwerpen Centrum-Noord-Oost-Zuid,379,1,102,0,207,0,62,1,8,0,0,395
23086,M,70-79,1,1,Ternat,VLAAMS-BRABANT,VLAAMS GEWEST,Pajottenland,596,3,258,2,328,1,3,0,7,0,0,619
45064,M,30-39,1,0,Etikhove,OOST-VLAANDEREN,VLAAMS GEWEST,Vlaamse Ardennen,291,7,8,0,269,7,6,0,8,0,0,305
41002,V,18-29,1,0,Aalst,OOST-VLAANDEREN,VLAAMS GEWEST,Regio Aalst,5168,102,383,2,4354,99,116,1,315,0,0,5841
71024,M,12-17,0,0,Herk-De-Stad,LIMBURG,VLAAMS GEWEST,Herkenrode,373,8,0,0,354,8,5,0,14,0,0,402
44020,V,18-29,1,0,Gavere,OOST-VLAANDEREN,VLAAMS GEWEST,Vlaamse Ardennen,777,6,78,0,634,6,20,0,45,0,0,818
13010,V,12-17,0,0,Grobbendonk,ANTWERPEN,VLAAMS GEWEST,Middenkempen,280,3,1,0,278,3,0,0,1,0,0,301
23101,V,12-17,0,0,Sint-Genesius-Rode,VLAAMS-BRABANT,VLAAMS GEWEST,Zennevallei,527,46,0,0,509,46,7,0,11,0,0,761
23038,M,0-11,0,0,Kampenhout,VLAAMS-BRABANT,VLAAMS GEWEST,BraVio,39,3,0,0,39,3,0,0,0,0,0,792
33041,M,12-17,0,0,Oostvleteren,WEST-VLAANDEREN,VLAAMS GEWEST,Westhoek,134,2,0,0,130,2,0,0,4,0,0,147
71034,M,60-69,1,0,Leopoldsburg,LIMBURG,VLAAMS GEWEST,West-Limburg,549,1,229,1,312,0,0,0,8,0,0,572
11029,V,0-11,0,0,Mortsel,ANTWERPEN,VLAAMS GEWEST,ZORA,76,14,0,0,76,14,0,0,0,0,0,1714
42025,V,60-69,1,0,Wetteren,OOST-VLAANDEREN,VLAAMS GEWEST,Scheldekracht,847,1,232,0,602,1,7,0,6,0,0,878
36011,M,0-11,0,0,Lichtervelde,WEST-VLAANDEREN,VLAAMS GEWEST,Midden WVL,38,4,0,0,38,4,0,0,0,0,0,603
35011,V,60-69,1,1,Middelkerke,WEST-VLAANDEREN,VLAAMS GEWEST,Westkust & Polder,895,9,221,1,651,8,9,0,14,0,0,919
46024,M,70-79,1,1,Stekene,OOST-VLAANDEREN,VLAAMS GEWEST,N-O-Waasland,814,1,119,0,687,1,3,0,5,0,0,833
38008,M,18-29,1,0,De Panne,WEST-VLAANDEREN,VLAAMS GEWEST,Westkust & Polder,517,19,11,0,488,19,3,0,15,0,0,651
24137,M,70-79,1,1,Glabbeek,VLAAMS-BRABANT,VLAAMS GEWEST,Zuidoost Hageland,236,1,2,0,234,1,0,0,0,0,0,244
23062,M,60-69,1,1,Overijse,VLAAMS-BRABANT,VLAAMS GEWEST,Druivenstreek,621,5,103,0,500,5,9,0,9,0,0,658
43005,M,50-59,1,0,Eeklo,OOST-VLAANDEREN,VLAAMS GEWEST,Oost-Meetjesland,1471,14,382,6,982,8,29,0,78,0,0,1559
71024,M,60-69,1,0,Herk-De-Stad,LIMBURG,VLAAMS GEWEST,Herkenrode,431,0,101,0,144,0,175,0,11,0,0,449
72042,V,0-11,0,0,Opglabbeek,LIMBURG,VLAAMS GEWEST,Kemp en Duin,78,24,0,0,78,24,0,0,0,0,0,1343
42028,M,12-17,0,0,Zele,OOST-VLAANDEREN,VLAAMS GEWEST,Dender,677,19,0,0,661,19,0,0,16,0,0,762
45060,M,0-11,0,0,Ruien,OOST-VLAANDEREN,VLAAMS GEWEST,Vlaamse Ardennen,32,1,0,0,32,1,0,0,0,0,0,428
37002,V,12-17,0,0,Dentergem,WEST-VLAANDEREN,VLAAMS GEWEST,RITS,260,6,0,0,256,6,1,0,3,0,0,285
33029,M,60-69,1,1,Wervik,WEST-VLAANDEREN,VLAAMS GEWEST,Regio Menen,510,1,161,1,346,0,3,0,0,0,0,523
24130,M,40-49,1,0,Zoutleeuw,VLAAMS-BRABANT,VLAAMS GEWEST,Zuidoost Hageland,543,2,97,1,302,1,6,0,138,0,0,576
42003,V,50-59,1,0,Berlare,OOST-VLAANDEREN,VLAAMS GEWEST,Dender,1099,4,347,0,732,4,10,0,10,0,0,1130
42011,M,90-100+,1,1,Lebbeke,OOST-VLAANDEREN,VLAAMS GEWEST,Dender,52,2,22,1,26,1,0,0,4,0,0,56
71016,V,60-69,1,1,Genk,LIMBURG,VLAAMS GEWEST,Kemp en Duin,1852,17,553,2,1270,15,5,0,24,0,0,1983
32030,M,50-59,1,0,Reninge,WEST-VLAANDEREN,VLAAMS GEWEST,Westhoek,268,0,26,0,237,0,0,0,5,0,0,274
46025,M,18-29,1,0,Temse,OOST-VLAANDEREN,VLAAMS GEWEST,Z-W-Waasland,1694,41,32,0,1604,41,9,0,49,0,0,2057
13035,V,80-89,1,1,Ravels,ANTWERPEN,VLAAMS GEWEST,Kempenland,350,0,72,0,273,0,0,0,5,0,0,358
73032,V,12-17,0,0,Hoeselt,LIMBURG,VLAAMS GEWEST,ZOLim,295,2,0,0,292,2,0,0,3,0,0,308
11056,V,80-89,1,1,Zwijndrecht,ANTWERPEN,VLAAMS GEWEST,N-O-Waasland,537,8,114,4,418,4,1,0,4,0,0,569
13016,V,80-89,1,1,Hulshout,ANTWERPEN,VLAAMS GEWEST,Zuiderkempen,277,3,27,0,240,3,1,0,9,0,0,288
